timestamp,regno,url,status code
20181017 14:38,200313,http://beta.charitycommission.gov.uk/charity-details/?regid=200313&subid=0,200
20181017 14:38,200369,http://beta.charitycommission.gov.uk/charity-details/?regid=200369&subid=0,200
20181017 14:38,200480,http://beta.charitycommission.gov.uk/charity-details/?regid=200480&subid=0,200
20181017 14:38,200490,http://beta.charitycommission.gov.uk/charity-details/?regid=200490&subid=0,200
20181017 14:38,200492,http://beta.charitycommission.gov.uk/charity-details/?regid=200492&subid=0,200
20181017 14:38,200674,http://beta.charitycommission.gov.uk/charity-details/?regid=200674&subid=0,200
20181017 14:38,200680,http://beta.charitycommission.gov.uk/charity-details/?regid=200680&subid=0,200
20181017 14:38,200689,http://beta.charitycommission.gov.uk/charity-details/?regid=200689&subid=0,200
20181017 14:38,200693,http://beta.charitycommission.gov.uk/charity-details/?regid=200693&subid=0,200
20181017 14:38,200732,http://beta.charitycommission.gov.uk/charity-details/?regid=200732&subid=0,200
20181017 14:38,200759,http://beta.charitycommission.gov.uk/charity-details/?regid=200759&subid=0,200
20181017 14:38,200768,http://beta.charitycommission.gov.uk/charity-details/?regid=200768&subid=0,200
20181017 14:38,200770,http://beta.charitycommission.gov.uk/charity-details/?regid=200770&subid=0,200
20181017 14:38,200807,http://beta.charitycommission.gov.uk/charity-details/?regid=200807&subid=0,200
20181017 14:38,200849,http://beta.charitycommission.gov.uk/charity-details/?regid=200849&subid=0,200
20181017 14:38,200912,http://beta.charitycommission.gov.uk/charity-details/?regid=200912&subid=0,200
20181017 14:38,201020,http://beta.charitycommission.gov.uk/charity-details/?regid=201020&subid=0,200
20181017 14:38,201029,http://beta.charitycommission.gov.uk/charity-details/?regid=201029&subid=0,200
20181017 14:38,201093,http://beta.charitycommission.gov.uk/charity-details/?regid=201093&subid=0,200
20181017 14:38,201192,http://beta.charitycommission.gov.uk/charity-details/?regid=201192&subid=0,200
20181017 14:38,201268,http://beta.charitycommission.gov.uk/charity-details/?regid=201268&subid=0,200
20181017 14:38,201284,http://beta.charitycommission.gov.uk/charity-details/?regid=201284&subid=0,200
20181017 14:38,201291,http://beta.charitycommission.gov.uk/charity-details/?regid=201291&subid=0,200
20181017 14:38,201335,http://beta.charitycommission.gov.uk/charity-details/?regid=201335&subid=0,200
20181017 14:38,201355,http://beta.charitycommission.gov.uk/charity-details/?regid=201355&subid=0,200
20181017 14:38,201404,http://beta.charitycommission.gov.uk/charity-details/?regid=201404&subid=0,200
20181017 14:38,201534,http://beta.charitycommission.gov.uk/charity-details/?regid=201534&subid=0,200
20181017 14:38,201552,http://beta.charitycommission.gov.uk/charity-details/?regid=201552&subid=0,200
20181017 14:38,201598,http://beta.charitycommission.gov.uk/charity-details/?regid=201598&subid=0,200
20181017 14:38,201708,http://beta.charitycommission.gov.uk/charity-details/?regid=201708&subid=0,200
20181017 14:38,201717,http://beta.charitycommission.gov.uk/charity-details/?regid=201717&subid=0,200
20181017 14:38,201783,http://beta.charitycommission.gov.uk/charity-details/?regid=201783&subid=0,200
20181017 14:38,201786,http://beta.charitycommission.gov.uk/charity-details/?regid=201786&subid=0,200
20181017 14:38,201800,http://beta.charitycommission.gov.uk/charity-details/?regid=201800&subid=0,200
20181017 14:38,201815,http://beta.charitycommission.gov.uk/charity-details/?regid=201815&subid=0,200
20181017 14:38,201865,http://beta.charitycommission.gov.uk/charity-details/?regid=201865&subid=0,200
20181017 14:38,201873,http://beta.charitycommission.gov.uk/charity-details/?regid=201873&subid=0,200
20181017 14:38,201894,http://beta.charitycommission.gov.uk/charity-details/?regid=201894&subid=0,200
20181017 14:38,201951,http://beta.charitycommission.gov.uk/charity-details/?regid=201951&subid=0,200
20181017 14:38,201954,http://beta.charitycommission.gov.uk/charity-details/?regid=201954&subid=0,200
20181017 14:38,202002,http://beta.charitycommission.gov.uk/charity-details/?regid=202002&subid=0,200
20181017 14:38,202091,http://beta.charitycommission.gov.uk/charity-details/?regid=202091&subid=0,200
20181017 14:38,202103,http://beta.charitycommission.gov.uk/charity-details/?regid=202103&subid=0,200
20181017 14:38,202110,http://beta.charitycommission.gov.uk/charity-details/?regid=202110&subid=0,200
20181017 14:38,202124,http://beta.charitycommission.gov.uk/charity-details/?regid=202124&subid=0,200
20181017 14:38,202193,http://beta.charitycommission.gov.uk/charity-details/?regid=202193&subid=0,200
20181017 14:38,202275,http://beta.charitycommission.gov.uk/charity-details/?regid=202275&subid=0,200
20181017 14:38,202280,http://beta.charitycommission.gov.uk/charity-details/?regid=202280&subid=0,200
20181017 14:38,202350,http://beta.charitycommission.gov.uk/charity-details/?regid=202350&subid=0,200
20181017 14:38,202352,http://beta.charitycommission.gov.uk/charity-details/?regid=202352&subid=0,200
20181017 14:38,202446,http://beta.charitycommission.gov.uk/charity-details/?regid=202446&subid=0,200
20181017 14:38,202472,http://beta.charitycommission.gov.uk/charity-details/?regid=202472&subid=0,200
20181017 14:38,202492,http://beta.charitycommission.gov.uk/charity-details/?regid=202492&subid=0,200
20181017 14:38,202493,http://beta.charitycommission.gov.uk/charity-details/?regid=202493&subid=0,200
20181017 14:38,202497,http://beta.charitycommission.gov.uk/charity-details/?regid=202497&subid=0,200
20181017 14:38,202613,http://beta.charitycommission.gov.uk/charity-details/?regid=202613&subid=0,200
20181017 14:38,202751,http://beta.charitycommission.gov.uk/charity-details/?regid=202751&subid=0,200
20181017 14:38,202809,http://beta.charitycommission.gov.uk/charity-details/?regid=202809&subid=0,200
20181017 14:38,202846,http://beta.charitycommission.gov.uk/charity-details/?regid=202846&subid=0,200
20181017 14:38,202865,http://beta.charitycommission.gov.uk/charity-details/?regid=202865&subid=0,200
20181017 14:38,200034,http://beta.charitycommission.gov.uk/charity-details/?regid=200034&subid=0,200
20181017 14:38,200123,http://beta.charitycommission.gov.uk/charity-details/?regid=200123&subid=0,200
20181017 14:38,200126,http://beta.charitycommission.gov.uk/charity-details/?regid=200126&subid=0,200
20181017 14:38,200137,http://beta.charitycommission.gov.uk/charity-details/?regid=200137&subid=0,200
20181017 14:38,200152,http://beta.charitycommission.gov.uk/charity-details/?regid=200152&subid=0,200
20181017 14:38,200154,http://beta.charitycommission.gov.uk/charity-details/?regid=200154&subid=0,200
20181017 14:38,200164,http://beta.charitycommission.gov.uk/charity-details/?regid=200164&subid=0,200
20181017 14:38,200169,http://beta.charitycommission.gov.uk/charity-details/?regid=200169&subid=0,200
20181017 14:38,200204,http://beta.charitycommission.gov.uk/charity-details/?regid=200204&subid=0,200
20181017 14:38,200213,http://beta.charitycommission.gov.uk/charity-details/?regid=200213&subid=0,200
20181017 14:38,200274,http://beta.charitycommission.gov.uk/charity-details/?regid=200274&subid=0,200
20181017 14:38,200282,http://beta.charitycommission.gov.uk/charity-details/?regid=200282&subid=0,200
20181017 14:38,200302,http://beta.charitycommission.gov.uk/charity-details/?regid=200302&subid=0,200
20181017 14:38,200382,http://beta.charitycommission.gov.uk/charity-details/?regid=200382&subid=0,200
20181017 14:38,200455,http://beta.charitycommission.gov.uk/charity-details/?regid=200455&subid=0,200
20181017 14:38,200468,http://beta.charitycommission.gov.uk/charity-details/?regid=200468&subid=0,200
20181017 14:38,200548,http://beta.charitycommission.gov.uk/charity-details/?regid=200548&subid=0,200
20181017 14:38,200571,http://beta.charitycommission.gov.uk/charity-details/?regid=200571&subid=0,200
20181017 14:38,200633,http://beta.charitycommission.gov.uk/charity-details/?regid=200633&subid=0,200
20181017 14:38,200662,http://beta.charitycommission.gov.uk/charity-details/?regid=200662&subid=0,200
20181017 14:38,200668,http://beta.charitycommission.gov.uk/charity-details/?regid=200668&subid=0,200
20181017 14:38,200692,http://beta.charitycommission.gov.uk/charity-details/?regid=200692&subid=0,200
20181017 14:38,200699,http://beta.charitycommission.gov.uk/charity-details/?regid=200699&subid=0,200
20181017 14:38,200711,http://beta.charitycommission.gov.uk/charity-details/?regid=200711&subid=0,200
20181017 14:38,200725,http://beta.charitycommission.gov.uk/charity-details/?regid=200725&subid=0,200
20181017 14:38,200786,http://beta.charitycommission.gov.uk/charity-details/?regid=200786&subid=0,200
20181017 14:38,200826,http://beta.charitycommission.gov.uk/charity-details/?regid=200826&subid=0,200
20181017 14:38,200902,http://beta.charitycommission.gov.uk/charity-details/?regid=200902&subid=0,200
20181017 14:38,200942,http://beta.charitycommission.gov.uk/charity-details/?regid=200942&subid=0,200
20181017 14:38,200953,http://beta.charitycommission.gov.uk/charity-details/?regid=200953&subid=0,200
20181017 14:38,200957,http://beta.charitycommission.gov.uk/charity-details/?regid=200957&subid=0,200
20181017 14:38,200999,http://beta.charitycommission.gov.uk/charity-details/?regid=200999&subid=0,200
20181017 14:39,201010,http://beta.charitycommission.gov.uk/charity-details/?regid=201010&subid=0,200
20181017 14:39,201031,http://beta.charitycommission.gov.uk/charity-details/?regid=201031&subid=0,200
20181017 14:39,201041,http://beta.charitycommission.gov.uk/charity-details/?regid=201041&subid=0,200
20181017 14:39,201068,http://beta.charitycommission.gov.uk/charity-details/?regid=201068&subid=0,200
20181017 14:39,201076,http://beta.charitycommission.gov.uk/charity-details/?regid=201076&subid=0,200
20181017 14:39,201081,http://beta.charitycommission.gov.uk/charity-details/?regid=201081&subid=0,200
20181017 14:39,201100,http://beta.charitycommission.gov.uk/charity-details/?regid=201100&subid=0,200
20181017 14:39,201276,http://beta.charitycommission.gov.uk/charity-details/?regid=201276&subid=0,200
20181017 14:39,201309,http://beta.charitycommission.gov.uk/charity-details/?regid=201309&subid=0,200
20181017 14:39,201317,http://beta.charitycommission.gov.uk/charity-details/?regid=201317&subid=0,200
20181017 14:39,201330,http://beta.charitycommission.gov.uk/charity-details/?regid=201330&subid=0,200
20181017 14:39,201334,http://beta.charitycommission.gov.uk/charity-details/?regid=201334&subid=0,200
20181017 14:39,201381,http://beta.charitycommission.gov.uk/charity-details/?regid=201381&subid=0,200
20181017 14:39,201400,http://beta.charitycommission.gov.uk/charity-details/?regid=201400&subid=0,200
20181017 14:39,201445,http://beta.charitycommission.gov.uk/charity-details/?regid=201445&subid=0,200
20181017 14:39,201500,http://beta.charitycommission.gov.uk/charity-details/?regid=201500&subid=0,200
20181017 14:39,201508,http://beta.charitycommission.gov.uk/charity-details/?regid=201508&subid=0,200
20181017 14:39,201511,http://beta.charitycommission.gov.uk/charity-details/?regid=201511&subid=0,200
20181017 14:39,201541,http://beta.charitycommission.gov.uk/charity-details/?regid=201541&subid=0,200
20181017 14:39,201575,http://beta.charitycommission.gov.uk/charity-details/?regid=201575&subid=0,200
